No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;
1;0.000000;23.7.217.88;192.168.43.47;TCP;54;443  >  49718 [ACK] Seq=1 Ack=1 Win=245 Len=0;;;;;;;;;;;;;;;
3;0.137533;23.7.217.88;192.168.43.47;TLSv1.2;319;Application Data;;;;;;;;;;;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5
4;0.142411;192.168.43.47;23.7.217.88;TCP;54;49718  >  443 [FIN, ACK] Seq=1 Ack=266 Win=253 Len=0;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
7;0.176440;192.168.43.47;23.7.217.88;TCP;66;49720  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;0,137533;0;0,137533;0,004878;0,132655
8;0.236247;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49718 [FIN, ACK] Seq=297 Ack=2 Win=245 Len=0;;;;;;;;;;;0,142411;0,137533;0,004878;0,034029;0,029151
9;0.236410;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 4#1] 49718  >  443 [ACK] Seq=2 Ack=266 Win=253 Len=0;;;;;;;;;;;0,17644;0,142411;0,034029;0,059807;0,025778
10;0.236719;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49718 [PSH, ACK] Seq=266 Ack=2 Win=245 Len=31;;;;;;;;;;;0,236247;0,17644;0,059807;0,000163;0,059644
11;0.236795;192.168.43.47;23.7.217.88;TCP;54;49718  >  443 [RST, ACK] Seq=2 Ack=297 Win=0 Len=0;;;;;;;;;;;0,23641;0,236247;0,000163;0,000309;0,000146
12;0.276411;23.7.217.88;192.168.43.47;TCP;66;443  >  49720 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;0,236719;0,23641;0,000309;7,6E-05;0,000233
13;0.276663;192.168.43.47;23.7.217.88;TCP;54;49720  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;0,236795;0,236719;7,6E-05;0,039616;0,03954
14;0.279010;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;0,276411;0,236795;0,039616;0,000252;0,039364
15;0.328256;147.135.46.101;192.168.43.47;TCP;54;80  >  49717 [ACK] Seq=1 Ack=1 Win=26800 Len=0;;;;;;;;;;;0,276663;0,276411;0,000252;0,002347;0,002095
16;0.332576;147.135.46.101;192.168.43.47;HTTP;204;HTTP/1.1 200 OK  (text/html);;;;;;;;;;;0,27901;0,276663;0,002347;0,049246;0,046899
17;0.332737;192.168.43.47;147.135.46.101;TCP;54;49717  >  80 [ACK] Seq=1 Ack=151 Win=65535 Len=0;;;;;;;;;;;0,328256;0,27901;0,049246;0,00432;0,044926
18;0.378479;23.7.217.88;192.168.43.47;TCP;54;443  >  49720 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;0,332576;0,328256;0,00432;0,000161;0,004159
19;0.378798;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;0,332737;0,332576;0,000161;0,045742;0,045581
20;0.379218;23.7.217.88;192.168.43.47;TCP;1454;443  >  49720 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;0,378479;0,332737;0,045742;0,000319;0,045423
21;0.379316;192.168.43.47;23.7.217.88;TCP;54;49720  >  443 [ACK] Seq=218 Ack=2801 Win=65792 Len=0;;;;;;;;;;;0,378798;0,378479;0,000319;0,00042;0,000101
22;0.379928;23.7.217.88;192.168.43.47;TLSv1.2;1350;Certificate [TCP segment of a reassembled PDU];;;;;;;;;;;0,379218;0,378798;0,00042;9,8E-05;0,000322
23;0.379928;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;0,379316;0,379218;9,8E-05;0,000612;0,000514
24;0.380173;192.168.43.47;23.7.217.88;TCP;54;49720  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;0,379928;0,379316;0,000612;;
25;0.469750;23.7.217.88;192.168.43.47;TLSv1.2;336;Server Key Exchange, Server Hello Done;;;;;;;;;;;;total delay;0,379928;total jiter;0,516531
26;0.476799;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;rata - rata delay;3,96875E-05;rata-rata jiter;5,39571E-05
27;0.564157;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
28;0.566719;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
29;0.724388;23.7.217.88;192.168.43.47;TCP;54;443  >  49720 [ACK] Seq=6053 Ack=877 Win=31360 Len=0;;;;;;;;;;;;;;;
30;0.832245;23.7.217.88;192.168.43.47;TLSv1.2;749;Application Data;;;;;;;;;;;;;;;
31;0.835604;192.168.43.47;23.7.217.88;TCP;54;49720  >  443 [FIN, ACK] Seq=877 Ack=6748 Win=64512 Len=0;;;;;;;;;;;;;;;
34;0.907962;192.168.43.47;23.7.217.88;TCP;66;49721  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
35;0.928107;23.7.217.88;192.168.43.47;TLSv1.2;85;Encrypted Alert;;;;;;;;;;;;;;;
36;0.928275;192.168.43.47;23.7.217.88;TCP;54;49720  >  443 [RST, ACK] Seq=878 Ack=6779 Win=0 Len=0;;;;;;;;;;;;;;;
37;0.928580;23.7.217.88;192.168.43.47;TCP;54;443  >  49720 [FIN, ACK] Seq=6779 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
38;0.988366;23.7.217.88;192.168.43.47;TCP;66;443  >  49721 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
39;0.988595;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
40;0.989660;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
41;1.084.599;23.7.217.88;192.168.43.47;TCP;54;443  >  49721 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
42;1.084.599;23.7.217.88;192.168.43.47;TLSv1.2;1454;Server Hello;;;;;;;;;;;;;;;
43;1.084.599;23.7.217.88;192.168.43.47;TCP;1350;[TCP Previous segment not captured] 443  >  49721 [PSH, ACK] Seq=2801 Ack=218 Win=30336 Len=1296 [TCP segment of a reassembled PDU] [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
44;1.084.797;192.168.43.47;23.7.217.88;TCP;66;49721  >  443 [ACK] Seq=218 Ack=1401 Win=65792 Len=0 SLE=2801 SRE=4097;;;;;;;;;;;;;;;
45;1.085.130;23.7.217.88;192.168.43.47;TCP;1454;[TCP Out-Of-Order] 443  >  49721 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400;;;;;;;;;;;;;;;
46;1.085.130;23.7.217.88;192.168.43.47;TLSv1.2;1454;Certificate Status [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
47;1.085.230;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [ACK] Seq=218 Ack=4097 Win=65792 Len=0;;;;;;;;;;;;;;;
48;1.085.325;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [ACK] Seq=218 Ack=5497 Win=65792 Len=0;;;;;;;;;;;;;;;
49;1.167.300;23.7.217.88;192.168.43.47;TLSv1.2;336;Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;
50;1.174.298;192.168.43.47;23.7.217.88;TLSv1.2;180;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
51;1.255.466;23.7.217.88;192.168.43.47;TLSv1.2;328;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;
52;1.257.914;192.168.43.47;23.7.217.88;TLSv1.2;587;Application Data;;;;;;;;;;;;;;;
53;1.345.276;23.7.217.88;192.168.43.47;TLSv1.2;747;Application Data;;;;;;;;;;;;;;;
54;1.349.174;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [FIN, ACK] Seq=877 Ack=6746 Win=64512 Len=0;;;;;;;;;;;;;;;
56;1.427.679;23.7.217.88;192.168.43.47;TCP;54;[TCP Previous segment not captured] 443  >  49721 [FIN, ACK] Seq=6777 Ack=878 Win=31360 Len=0;;;;;;;;;;;;;;;
57;1.427.869;192.168.43.47;23.7.217.88;TCP;54;[TCP Dup ACK 54#1] 49721  >  443 [ACK] Seq=878 Ack=6746 Win=64512 Len=0;;;;;;;;;;;;;;;
58;1.428.175;23.7.217.88;192.168.43.47;TCP;85;[TCP Out-Of-Order] 443  >  49721 [PSH, ACK] Seq=6746 Ack=878 Win=31360 Len=31;;;;;;;;;;;;;;;
59;1.428.253;192.168.43.47;23.7.217.88;TCP;54;49721  >  443 [RST, ACK] Seq=878 Ack=6777 Win=0 Len=0;;;;;;;;;;;;;;;
61;1.448.812;192.168.43.47;23.7.217.88;TCP;66;49724  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;;;;;;;;;;;;;
62;1.523.683;23.7.217.88;192.168.43.47;TCP;66;443  >  49724 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1400 SACK_PERM=1 WS=128;;;;;;;;;;;;;;;
63;1.523.909;192.168.43.47;23.7.217.88;TCP;54;49724  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0;;;;;;;;;;;;;;;
64;1.524.968;192.168.43.47;23.7.217.88;TLSv1.2;271;Client Hello;;;;;;;;;;;;;;;
65;1.612.314;23.7.217.88;192.168.43.47;TCP;54;443  >  49724 [ACK] Seq=1 Ack=218 Win=30336 Len=0;;;;;;;;;;;;;;;
66;1.613.234;23.7.217.88;192.168.43.47;TCP;1454;[TCP Previous segment not captured] 443  >  49724 [ACK] Seq=1401 Ack=218 Win=30336 Len=1400 [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;
67;1.613.342;192.168.43.47;23.7.217.88;TCP;66;[TCP Dup ACK 63#1] 49724  >  443 [ACK] Seq=218 Ack=1 Win=65792 Len=0 SLE=1401 SRE=2801;;;;;;;;;;;;;;;
